ticker,nome,tipo,bench,settore,sost
4GLD.DE,Xetra-Gold,etf,^STOXX50E,ETF,False
XDWD.DE,Xtrackers MSCI World UCITS ETF 1C,etf,^GSPC,ETF,False
IUSA.DE,iShares Core S&P 500 UCITS ETF USD (Dist),etf,^GSPC,ETF,False
IUSZ.DE,iShares Core FTSE 100 UCITS ETF GBP (Dist),etf,^FTSE,ETF,False
SPY5.DE,State Street SPDR S&P 500 UCITS ETF USD Unhedged (Dist),etf,^GSPC,ETF,False
SPPW.DE,State Street SPDR MSCI World UCITS ETF USD Unhedged,etf,^GSPC,ETF,False
QDVE.DE,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),etf,^GSPC,ETF,False
LYP5.DE,Amundi Core S&P 500 Swap UCITS ETF Acc,etf,^GSPC,ETF,False
EUNK.DE,iShares Core MSCI Europe UCITS ETF EUR (Acc),etf,^STOXX50E,ETF,False
SPYL.DE,State Street SPDR S&P 500 UCITS ETF USD Unhedged (Acc),etf,^GSPC,ETF,False
SPYY.DE,State Street SPDR MSCI All Country World UCITS ETF USD Unhedged (Acc),etf,^GSPC,ETF,False
MWRE.DE,Amundi Core MSCI World UCITS ETF Acc,etf,^GSPC,ETF,False
H4ZJ.DE,HSBC MSCI World UCITS ETF USD,etf,^GSPC,ETF,False
I500.DE,iShares S&P 500 Swap UCITS ETF USD (Acc),etf,^GSPC,ETF,False
EQQQ.DE,Invesco EQQQ Nasdaq-100 UCITS ETF,etf,^GSPC,ETF,False
XMME.DE,Xtrackers MSCI Emerging Markets UCITS ETF 1C,etf,^GSPC,ETF,False
XD9U.DE,Xtrackers MSCI USA UCITS ETF 1C,etf,^GSPC,ETF,False
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR (Dist),etf,^STOXX50E,ETF,False
XDEW.DE,Xtrackers S&P 500 Equal Weight UCITS ETF 1C,etf,^GSPC,ETF,False
UETW.DE,UBS Core MSCI World UCITS ETF USD acc,etf,^GSPC,ETF,False
EUN5.DE,iShares Core EUR Corporate Bond UCITS ETF (Dist),etf,^STOXX50E,ETF,False
GLDA.DE,Amundi Physical Gold ETC (C),etf,^GSPC,ETF,False
EXSA.DE,iShares STOXX Europe 600 UCITS ETF (DE),etf,^STOXX50E,ETF,False
D500.DE,Invesco S&P 500 UCITS ETF Dist,etf,^GSPC,ETF,False
EXW1.DE,iShares EURO STOXX 50 UCITS ETF (DE),etf,^STOXX50E,ETF,False
VGWD.DE,Vanguard FTSE All-World High Dividend Yield UCITS ETF Distributing,etf,^GSPC,ETF,False
IQQE.DE,iShares MSCI EM UCITS ETF (Dist),etf,^GSPC,ETF,False
LYYA.DE,Amundi MSCI World Swap II UCITS ETF ,etf,^STOXX50E,ETF,False
IBCF.DE,iShares S&P 500 EUR Hedged UCITS ETF (Acc),etf,^STOXX50E,ETF,False
H4ZF.DE,HSBC S&P 500 UCITS ETF USD,etf,^GSPC,ETF,False
EXS1.DE,iShares Core DAX® UCITS ETF (DE) EUR (Acc),etf,^STOXX50E,ETF,False
EUNM.DE,iShares MSCI EM UCITS ETF (Acc),etf,^GSPC,ETF,False
IQQW.DE,iShares MSCI World UCITS ETF (Dist),etf,^GSPC,ETF,False
EMMUSC.MI,UBS Core MSCI EM UCITS ETF USD acc,etf,^GSPC,ETF,False
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,^GSPC,ETF,False
SC0J.DE,Invesco MSCI World UCITS ETF ,etf,^GSPC,ETF,False
SXRT.DE,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),etf,^STOXX50E,ETF,False
SC0H.DE,Invesco MSCI USA UCITS ETF,etf,^GSPC,ETF,False
IUSN.DE,iShares MSCI World Small Cap UCITS ETF,etf,^GSPC,ETF,False
CEBL.DE,iShares MSCI EM Asia UCITS ETF (Acc),etf,^GSPC,ETF,False
SXRL.DE,iShares USD Treasury Bond 3-7yr UCITS ETF (Acc),etf,^GSPC,ETF,False
DBXD.DE,Xtrackers DAX UCITS ETF 1C,etf,^STOXX50E,ETF,False
EUNN.DE,iShares Core MSCI Japan IMI UCITS ETF,etf,^GSPC,ETF,False
LYOR.DE,Amundi Smart Overnight Return UCITS ETF Acc,etf,^STOXX50E,ETF,False
AHYQ.DE,Amundi Core MSCI World Swap UCITS ETF Dist,etf,^GSPC,ETF,False
SPYI.DE,State Street SPDR MSCI All Country World Investable Market UCITS ETF USD Unhedged (Acc),etf,^GSPC,ETF,False
AMEW.DE,Amundi MSCI World Swap UCITS ETF EUR Acc,etf,^STOXX50E,ETF,False
XESC.DE,Xtrackers EURO STOXX 50 UCITS ETF 1C,etf,^STOXX50E,ETF,False
SXR7.DE,iShares Core MSCI EMU UCITS ETF EUR (Acc),etf,^STOXX50E,ETF,False
DFEN.DE,VanEck Defense UCITS ETF A,etf,^GSPC,ETF,False
LYMS.DE,Amundi Core Nasdaq-100 Swap UCITS ETF Acc,etf,^GSPC,ETF,False
LYBK.DE,Amundi Euro Stoxx Banks UCITS ETF Acc,etf,^STOXX50E,ETF,False
EXUS.DE,Xtrackers MSCI World ex USA UCITS ETF 1C,etf,^GSPC,ETF,False
IS3S.DE,iShares Edge MSCI World Value Factor UCITS ETF,etf,^GSPC,ETF,False
XESX.DE,Xtrackers EURO STOXX 50 UCITS ETF 1D,etf,^STOXX50E,ETF,False
EUNW.DE,iShares EUR High Yield Corporate Bond UCITS ETF EUR (Dist),etf,^STOXX50E,ETF,False
VGVF.DE,Vanguard FTSE Developed World UCITS ETF Acc,etf,^GSPC,ETF,False
EUN2.DE,iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),etf,^STOXX50E,ETF,False
DBXJ.DE,Xtrackers MSCI Japan UCITS ETF 1C,etf,^GSPC,ETF,False
XWD1.DE,Xtrackers MSCI World Swap UCITS ETF 1D,etf,^GSPC,ETF,False
EXXT.DE,iShares Nasdaq 100 UCITS ETF (DE),etf,^GSPC,ETF,False
SPY4.DE,State Street SPDR S&P 400 U.S. Mid Cap UCITS ETF USD Unhedged (Acc),etf,^GSPC,ETF,False
XDWT.DE,Xtrackers MSCI World Information Technology UCITS ETF 1C,etf,^GSPC,ETF,False
LCUJ.DE,Amundi Core MSCI Japan UCITS ETF Acc,etf,^GSPC,ETF,False
XGDU.DE,Xtrackers IE Physical Gold ETC Securities,etf,^GSPC,ETF,False
ELFW.DE,Deka MSCI World UCITS ETF ,etf,^STOXX50E,ETF,False
VUKE.DE,Vanguard FTSE 100 UCITS ETF (GBP) Distributing,etf,^FTSE,ETF,False
IBCH.DE,iShares MSCI World EUR Hedged UCITS ETF (Acc),etf,^STOXX50E,ETF,False
EUNH.DE,iShares Core Euro Government Bond UCITS ETF (Dist),etf,^STOXX50E,ETF,False
DBXW.DE,Xtrackers MSCI World Swap UCITS ETF 1C,etf,^GSPC,ETF,False
AE5A.DE,Amundi Core MSCI Emerging Markets Swap UCITS ETF Dist,etf,^GSPC,ETF,False
IS3Q.DE,iShares Edge MSCI World Quality Factor UCITS ETF (Acc),etf,^GSPC,ETF,False
SPP5.DE,State Street SPDR Bloomberg 1-5 Year U.S. Corporate Bond UCITS ETF USD Unhedged (Acc),etf,^GSPC,ETF,False
LEMA.DE,Amundi Core MSCI Emerging Markets Swap UCITS ETF Acc,etf,^GSPC,ETF,False
IS3R.DE,iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),etf,^GSPC,ETF,False
84X0.DE,iShares MSCI EM ex-China UCITS ETF USD (Acc),etf,^GSPC,ETF,False
XDWL.DE,Xtrackers MSCI World UCITS ETF 1D,etf,^GSPC,ETF,False
ISPA.DE,iShares STOXX Global Select Dividend 100 UCITS ETF (DE),etf,^STOXX50E,ETF,False
XMUS.DE,Xtrackers MSCI USA Swap UCITS ETF 1C,etf,^GSPC,ETF,False
ZPRR.DE,State Street SPDR Russell 2000 U.S. Small Cap UCITS ETF USD,etf,^GSPC,ETF,False
VGEU.DE,Vanguard FTSE Developed Europe UCITS ETF Distributing,etf,^STOXX50E,ETF,False
