evento,asse,tit,ben,lo,hi
AAPL|2026-05-01,-15.0,95.99409596289172,94.56070054480978,,
AAPL|2026-05-01,-14.0,95.52238537147828,95.52269255079838,,
AAPL|2026-05-01,-13.0,95.3860188645963,96.64822367192964,,
AAPL|2026-05-01,-12.0,98.1868342719178,97.41906896562,,
AAPL|2026-05-01,-11.0,97.07019137802104,97.67332843314288,,
AAPL|2026-05-01,-10.0,99.58724197557854,98.84936059558716,,
AAPL|2026-05-01,-9.0,100.62648218651998,98.61465538051478,,
AAPL|2026-05-01,-8.0,98.09102650073794,97.98862805414124,,
AAPL|2026-05-01,-7.0,100.67072193986704,99.01359735118788,,
AAPL|2026-05-01,-6.0,100.76652971104689,98.60438719668558,,
AAPL|2026-05-01,-5.0,99.89311540508136,99.39062799291143,,
AAPL|2026-05-01,-4.0,98.6216896591434,99.51311469236224,,
AAPL|2026-05-01,-3.0,99.76413344735856,99.0260803741412,,
AAPL|2026-05-01,-2.0,99.56513335583968,98.98655193032371,,
AAPL|2026-05-01,-1.0,100.0,100.0,100.0,100.0
AAPL|2026-05-01,0.0,103.239351812192,100.2928328889657,97.99432378247889,102.45145779458568
AAPL|2026-05-01,1.0,102.0195165979562,99.88542440787936,96.7483159695432,103.0306874285904
AAPL|2026-05-01,2.0,104.72820525174278,100.69649578584524,96.6526764032945,104.39587405021258
AAPL|2026-05-01,3.0,105.95540250126838,102.16548952821354,97.15788948678828,106.20174291316634
AAPL|2026-05-01,4.0,105.92960160694996,101.77694443232792,96.32262566208358,106.4024080141934
AAPL|2026-05-01,5.0,108.09655027859225,102.63448679265016,96.47392548458964,107.5886244801328
AAPL|2026-05-01,6.0,107.96005994542864,102.82743517836433,96.16268476200484,108.18468826991966
AAPL|2026-05-01,7.0,108.74205668474492,102.66264301968052,95.6163047828195,108.45073614818428
AAPL|2026-05-01,8.0,110.24334903713246,103.26314212385596,95.6603345051202,109.3352460000775
AAPL|2026-05-01,9.0,109.99989531050736,104.05368390737178,95.86085805250076,110.3617618462158
AAPL|2026-05-01,10.0,110.7450143317664,102.76723490272184,94.55921717524836,109.6169714777771
AAPL|2026-05-01,11.0,109.86341623427842,102.69163235133554,94.16009457139744,109.876666133987
AAPL|2026-05-01,12.0,110.2802380121244,102.005824688236,93.33196710502985,109.60186811416553
AAPL|2026-05-01,13.0,111.49012209609076,103.10667423821047,93.81356499736908,110.84078593487612
AAPL|2026-05-01,14.0,112.50081472064848,103.28353625413943,93.63304145807363,111.28018384916868
AAPL|2026-05-01,15.0,113.91358253860314,103.66847122998485,93.6109657606673,111.88904757885392
AAPL|2026-05-01,16.0,113.73282993822306,104.30170525002217,93.7735757504365,112.70379736746368
AAPL|2026-05-01,17.0,114.66238257750707,104.31890242597358,93.50223341359916,112.98190940880026
AAPL|2026-05-01,18.0,115.27470354018214,104.91912382860748,93.65249746747818,113.7555073189775
AAPL|2026-05-01,19.0,115.1087087811858,105.14703551572428,93.5434225447216,114.20225457974466
AAPL|2026-05-01,20.0,112.9877221738987,105.4230776212384,93.47380214596828,114.68489143911512
AAPL|2026-05-01,21.0,116.26695730571122,105.55929361397536,93.31079224433915,115.04119405534288
AAPL|2026-05-01,22.0,114.4447522590698,104.7811061624546,92.51221849862485,114.59865150545237
AAPL|2026-05-01,23.0,114.80255392831562,105.20598952103391,92.56299167183788,115.19494364302987
AAPL|2026-05-01,24.0,113.36765497675276,102.42377905469311,90.38015865213632,112.99108293361734
AAPL|2026-05-01,25.0,111.22822951043705,102.72881049186226,90.36078459022669,113.4718017702089
AAPL|2026-05-01,26.0,107.17437093153272,102.46414060313523,89.94724410408445,113.44797648837697
AAPL|2026-05-01,27.0,107.55430373438676,100.80427785001028,88.56762521023633,112.18915429184206
AAPL|2026-05-01,28.0,109.0482227945498,102.57025645805096,89.58004340888698,113.95201065556591
AAPL|2026-05-01,29.0,107.38832023232511,103.0857247048439,89.71987261335104,114.60505006066956
AAPL|2026-05-01,30.0,109.33963106297097,104.78956589965954,90.68118505819248,116.3075043492735
AAPL|2026-05-01,31.0,110.37982811336138,104.19392318585712,90.0585708757523,115.97476707076268
AAPL|2026-05-01,32.0,109.1662630117501,102.9281460130322,88.98131981679624,115.04267451398972
AAPL|2026-05-01,33.0,109.9261286174582,104.0445265297088,89.54192296524648,116.22061528820312
AAPL|2026-05-01,34.0,109.55726138140824,103.6590361507803,89.07532474347383,116.0611483960183
AAPL|2026-05-01,35.0,108.55762306671996,102.17020368121165,87.86066005346632,114.91420226972367
AAPL|2026-05-01,36.0,108.10760458846168,102.06977732129364,87.59697607990404,114.99956967286316
AAPL|2026-05-01,37.0,101.49381774775075,102.05965137483936,87.39757849221726,115.1630909313381
AAPL|2026-05-01,38.0,104.67714379597122,102.01151418323371,87.17483747067081,115.29000643191002
AAPL|2026-05-01,39.0,103.92465148248765,103.2101553150856,87.79955522053295,116.53597475905988
AAPL|2026-05-01,40.0,106.73541802007855,104.02760028209056,88.16395797483854,117.43762697342083
AAPL|2026-05-01,41.0,108.58713874948738,103.80385411809712,87.82749811695024,117.4024583640398
AAPL|2026-05-01,42.0,113.84349686319884,103.80399635547208,87.64397644330172,117.56604106320526
AAPL|2026-05-01,43.0,115.33003137420268,104.5556937892118,87.96579957476581,118.40500954814482
AAPL|2026-05-01,44.0,114.59229690210282,104.08988670589888,87.47436304985347,118.14551814255638
AAPL|2026-05-01,45.0,115.59930850901564,103.79664065122502,87.10086278596647,118.03846198502823
AAPL|2026-05-01,46.0,116.64319783398564,104.64183545276052,87.48764340390618,118.95900534188893
AAPL|2026-05-01,47.0,116.31121957292766,105.0822565512503,87.6046148250409,119.51227046779844
AAPL|2026-05-01,48.0,117.04526177044792,104.24926707112654,86.87986052801574,118.91191772188913
AAPL|2026-05-01,49.0,116.14153253935172,104.64113781230247,86.96778561183761,119.41853071447402
AMZN|2026-06-30,-63.0,83.680352069204,85.26012696809772,,
AMZN|2026-06-30,-62.0,86.7285769975057,87.74385170338289,,
