Date,ESGU,SPY
2021-10-04,92.33490753173828,401.90362548828125
2021-10-05,93.30328369140625,406.0853576660156
2021-10-06,93.73576354980469,407.7731018066406
2021-10-07,94.52552032470703,411.2986145019531
2021-10-08,94.30927276611328,410.54840087890625
2021-10-11,93.70756530761719,407.57623291015625
2021-10-12,93.55714416503906,406.57293701171875
2021-10-13,94.00841522216797,408.03564453125
2021-10-14,95.67256927490234,414.89898681640625
2021-10-15,96.29302978515625,418.0588073730469
2021-10-18,96.66914367675781,419.2965393066406
2021-10-19,97.36486053466797,422.5313720703125
2021-10-20,97.70330810546875,424.1908874511719
2021-10-21,97.93838500976562,425.2973327636719
2021-10-22,97.78794860839844,424.85662841796875
2021-10-25,98.2580337524414,427.13507080078125
2021-10-26,98.3896713256836,427.5195007324219
2021-10-27,97.93838500976562,425.6254577636719
2021-10-28,98.87854766845703,429.7323303222656
2021-10-29,99.09478759765625,430.604248046875
2021-11-01,99.31101989746094,431.34503173828125
2021-11-02,99.60247802734375,433.0888977050781
2021-11-03,100.251220703125,435.7330627441406
2021-11-04,100.70250701904297,437.7864685058594
2021-11-05,100.91873168945312,439.3053894042969
2021-11-08,101.04096221923828,439.68048095703125
2021-11-09,100.74951171875,438.2272033691406
2021-11-10,99.87515258789062,434.7017822265625
2021-11-11,99.81873321533203,434.8423156738281
2021-11-12,100.67427825927734,438.1240539550781
2021-11-15,100.65547180175781,438.2740783691406
2021-11-16,101.1443862915039,440.0086669921875
2021-11-17,100.80591583251953,438.9397277832031
2021-11-18,101.11618041992188,440.4306640625
2021-11-19,100.93753814697266,439.6429748535156
2021-11-22,100.44863891601562,438.40533447265625
2021-11-23,100.49565887451172,438.9866943359375
2021-11-24,100.78711700439453,440.1586608886719
2021-11-26,98.50247955322266,430.34173583984375
2021-11-29,99.78111267089844,435.62054443359375
2021-11-30,97.86315155029297,427.1444091796875
2021-12-01,96.55630493164062,422.4000244140625
2021-12-02,98.09819793701172,428.8696594238281
2021-12-03,97.08281707763672,425.1379699707031
2021-12-06,98.19222259521484,430.17303466796875
2021-12-07,100.3452377319336,439.0710144042969
2021-12-08,100.7212905883789,440.23370361328125
2021-12-09,99.884521484375,437.2613830566406
2021-12-10,100.62728118896484,441.3775939941406
2021-12-13,99.75888061523438,437.46771240234375
2021-12-14,98.91968536376953,434.45794677734375
